FC10156,IN0910019710,SC Gadsan,328937
FC10166,IN0910007598,SC Nagla Gulal,328938
FC10147,IN0910019682,SC Nagla Shadi,328907
FC10151,IN0910019674,SC Shadipur,328914
FC10144,IN0910023394,SC Mu Kheriya,328908
FC10136,IN0910007599,SC Banwara,328902
FC10118,IN0910019721,SC Fariha Dehat,349948
FC10113,IN0910007644,SC Bhikanpur Sankhini,349924
FC10114,IN0910007609,SC Biltigarh,349928
FC10112,IN0910019718,SC Ussaini,328884
FC10064,IN0910019778,SC Araon,328811
FC10081,IN0910019772,SC Singhemai,328800
FC10069,IN0910019759,SC Dhatri,328814
FC10077,IN0910019753,SC Saray Bharthara,328799
FC10080,IN0910007636,SC Sherpur,328803
FC12434,IN0910008815,SC Tahrouli Kalan,380807
FC12433,IN0910008715,SC Sujwa,380803
FC12249,IN0910026752,SC Futera,379522
FC12199,IN0910026743,SC Bijoli,379680
FC12218,IN0910008787,SC Lahargird,380234
FC12211,IN0910008682,SC Hansari,380230
FC12207,IN0910008681,SC Gariyagaon,380233
FC12210,IN0910008680,SC Gwaltoli,380231
FC12191,IN0910008615,SC Athondna,380232
FC22914,IN0910026821,SC Ranva,330641
FC22841,IN0910008874,SC Gauriyapur,330544
FC22851,IN0910026811,SC Nadsiya,330557
FC22848,IN0910008855,SC Matule,330556
FC22826,IN0910021796,SC Karsa Rampur,330533
FC22778,IN0910008856,SC Khanpur Kasaba,330474
FC12149,IN0910020538,SC Attuta,424383
FC12185,IN0910020533,SC Sharikpur,424385
FC32371,IN0910020518,SC Badoda Hinduan,424314
FC12099,IN0910020498,SC Chajjupur,424333
FC12137,IN0910026053,SC Salehpur,424332
FC12096,IN0910020496,SC Barodasihani,424335
FC12050,IN0910020576,SC Anupur Dhibai,424428
FC12041,IN0910026134,SC Pipleda,424402
FC12036,IN0910026111,SC Merapur,473821
FC12040,IN0910020553,SC Partapur,473820
FC12024,IN0910020550,SC Duhri,473822
FC13738,IN0910022629,SC Dhekrwakhalsa,403678
FC13734,IN0910012079,SC Binaura,403713
FC13712,IN0910023087,SC Khanipur,402499
FC13719,IN0910023074,SC Patrasi,402514
FC13707,IN0910022494,SC Badagaon,402534
FC13678,IN0910027458,SC Ajahera,403324
FC13696,IN0910023011,SC Murtaja Alinager,403341
FC13676,IN0910022745,SC Senpur,404529
FC13656,IN0910022738,SC Chauganpur,404595
FC13664,IN0910012083,SC Khamariya,404520
FC13647,IN0910022976,SC Sikandrabad,402648
FC13636,IN0910022964,SC Kandhrapur,402625
FC13642,IN0910022935,SC Mohamdabad,402657
FC13628,IN0910022844,SC Allipur,402658
FC13646,IN0910022813,SC Roshannagar,402649
FC26158,IN0910012121,SC Gola Nagar,2032073
FC13623,IN0910022733,SC Sirsi,404675
FC13605,IN0910022713,SC Durgapur Padari,404668
FC13619,IN0910022633,SC Raipur,404657
FC13599,IN0910023151,SC Ramlok,402355
FC13585,IN0910027468,SC Baburi,410259
FC13591,IN0910023136,SC Devipurwa,402357
